deyim,acıklama
"Sitem","1. Bir kimseye, yaptığı güce gidecek bir eylemin ya da söylediği sözün yarattığı kırgınlık v.b. olumsuzlukları öfkelenmeden belirtme. 2. Haksızlık, eziyet."
"Sitemkar","Sitem eden, sitemli, sitem taşıyan zulum ve haksızlık eden."
"Somat","Şölen sofrası, sofra."
"Sona","Suna, dişi ördek."
"Sorak","Merak, düşkünlük."
"Soraram","Sorarım."
"Sormak","Emmek, sorumak, soğurmak,"
"Sökel düşmek","Halsiz düşmek."
"Söylerem","Söylerim."
"Söylüyüm","Söyleyeyim."
"Sözün sayı","Sözün doğrusu."
"Sözüni","Sözünü."
"Sufra","Sofra."
"Sulb","Soy , sülale, zürriyet."
"Sücut","Secde."
"Sücut etmek","Secde etmek."
"Südkar","Şeker ."
"Süheyl","Süheyl yıldızı, sevgili."
"Süleyman","Kur'an'da anılan peygamberlerden biri, İncil'de de adı geçen İsrail kıralı (İ.Ö.970-93 1 arası). Kur'an'ın bir çok ayetinde Süleyman peygambere verilen iistiin güçler, ilalıi nİnıetier ve saltanattan söz edilir. Kur'an'a göre Süleynıan, Davut peyganıberin oğludur. Süleylan peygamberin kuşların dilini bildiğine, rüzgara ve cinlere hükmettiğine inanılır. Divan ve Halk şairleri, Süleyman peygamberin doğa üstü güçlerine ve kudretli yüzüğüne (Mührü Süleyman) şiirlerinde telmih yoluyla, sıkça değinirler. Divan ve Halk şiirinde Süleyman peygamber kuvvet ve kudret örneği olarak işlenir."
"Sümme veçhullah","Allah'ın."
"Sünnet","Hz. Muhammed'in Müslümanlarca uyulması gerekli davranışlarının ve değişik konularda söylemiş olduğu sözlerin tümü. İbadet yönünden sünnet, farz olan nazalardan önce ve sonra kılınan namazlardır."
"Süresen","Süresin."
"Süryani","Eski Suriye halkında, Samilerin Arami kolundan olan."
"Süsen","Süsen Çiçeği."
"Süz","Süzülerek."
"Süzmege","Süzmeye."
"Süzük","Süzgün, baygın."
"Şad","Sevinçli, şen."
"Şad olmak","Sevinçli olmak, neşelenmek."
"Şadda","Kuşak."
"Şadlığ deryası","Sevinç denizi."
"Şadlığ-şadlık","Sevinç, sevinçlilik."
"Şadlık ünü","Sevinç sesi, sevincin sesi."
"Şahanterlan","Şahin kuşu."
"Şahan-terlan","Şahin kuşu."
"Şahbaz","İri bir tür akdoğan."
"Şakkü'l - kamer","Ayın ikiye bölünmesi."
"Şamama","Güzel kokulu, yuvarlak, sarı kırmızı ya da sarı kahverengi çizgili bir tür küçük kavun. Saz şairlerinin şiirlerinde genç kız memesi kimi kez şamamaya benzetilir."
"Şana","Tarak."
"Şar","Şehir, kent, pazar."
"Şaşarsız","Şaşırırsınız."
"Şavk","Işık."
"Şavkı çalmış","Işığı vurmuş."
"Şayan","Yakışır, yaraşır, değer."
"Şaz","Şad, mutlu, mutluluk."
"Şefi","Ela göz, tatlı şaşı."
"Şefteli","Şeftali."
"Şeher","Şehir, kent."
"Şekva","Şikayet, aciz kaldığını ve zavallılığını haber vermek."
"Şem","Balmumundan yapılma mum."
"Şems","Güneş."
"Şems ü kamer","Ay ve güneş."
"Şeraben tahur","Cennete mahsus şurup."
"Şerik","Ortak, ders, okul arkadaşı."
"Şeş","Altı (sayı)."
"Şevle","Şule, alev, yalım, parıltı."
"Şeyda","Şaşkın, deli, sevda delisi."
"Şeyda bülbül","Gülün sevgisiyle kendini yitirmiş bülbül."
"Şikar","Av."
"Şikar eylemek","şikar eylemek, avlamak."
"Şikest eylemek","Kırmak."
"Şikeste","Kırılmış, incinmiş."
"Şire","1.Şıra, daha mayalanmamış üzüm suyu; 2. Kimi meyve sularına verilen ad."
"Şirin","Ferhat ile Şirin hikayesinin baş kadın kişisi."
"Şirin güftar","Tatlı söz."
"Şita","Kış."
"Şol","Şu."
"Şovg-şovg","Şavk, ışık, parıltı."
"Şövle","Şule, alev, yalım, parıltı."
"Şuğ","Filiz, ağacın ilkbahar sürgünü."
"Şuh-i-terlen","Özgürce uçan doğan."
"Şule","Alev, ateş. alevlenmiş olan."
"Şüşe","Şişe, sıvıların, özellikle içkilerin konulduğu camdan yapılmış dar ağızlı kap."
"Şüşe çekmek","Büyümeye, biçimlenmeye başlamak."
"Tağ","Kavun, karpuz gibi bitkilerin gövdeleri ve yerde kayılan kolları, dalları­."
"Taharetsiz","Temizlenmemiş, pis."
"Tahayyüm","Acıma, rahmet kılma."
"Tahayyür","Hayale getirme, hayalde canlandırma."
"Tahça","Duvar rafı, duvara çakılmış kapaksız küçük dolap."
"Tahir","Temiz."
"Taht-ınan","Taht ile, tahtla."
"Talak","Boşama."
"Talan","Yağma."
"Talanmak","Yağmalamak, yağma edilmek."
"Talip","İstekli."
"Tam taşı","İşaret taşı."
"Tama","Hırsla isteme, aç gözlü."
"Tamaşa","Temaşa, seyretme, hoşlanarak bakma."
"Tamu","Cehennem."
"Tan","Güneş doğmadan önceki alaca karanlık."
"Tan etmek","Hoş görmemek, kötülemek, yermek, ayıplamak."
"Tana","Susuzluktan yanmak."
"Tanış","Tanıdık kimse, bildik."
"Tanışak","Tanışalım."
"Tan-yıldızı","Gün doğmadan önce doğu gözeriminde görülen parlak yıldız, Çoban yıldızı. Kervanyıldızı, Çulpan, Venüs."
"Tapşırırsa","Söylerse, bildirirse."
"Tapşırmak","1. lsmarlamak. 2.Emanet etmek. 3. Söylemek, ad söylemek."
"Tarayı tarayı","Taraya taraya."
"Tarhun","Yenilebilen ve hekimlikte kullanılan güzel kokulu bir bitki; tuzla otu."
"Tariflemek","Tanımlamak."
"Tarikat","Yol manevi yol, usul, tarz."
"Tarlan","Doğan. Sarıya çalgın renkli, iri pençeli doğan."
"Tartılım","Tartılayım."
"Tay","Denk eş."
"Taya","Dadı, süt anası."
"Tecdid","Yenileme, yeniden yapma."
"Tecella","Tur Dağı'nda Tanrı'nın Musa'ya görünüşü."
"Teferrüc","Fikretmek, düşünmek, fikri harekete getirmek."
"Tehi dest","Eliboş, züğürt."
"Tek","Gibi."
"Tekebbür","Kibirlenmek. Kendini büyük görmek."
"Tekebbürlük","Kibirlenme, büyüklük taslama."
"Tekin","Gibi."
"Telef olmak","Yok olmak, ölmek."
"Telli","1 .Kadın adı olarak, 2. Sorguçlu kimi kuş türleri için kullanılır."
"Telli durna","Turna, telli turna."
"Temaşa","Gezme, bakıp seyretme."
"Temenna","Eli alnına götürerek selamlama işareti yapma."
"Tene","Tane."
"Ter","Yeni, taze."
"Tercüman","Kurbanlık koyun."
"Terezi","Terazi."
"Terkini","Belli bir saatte ve yerde buluşma için sözleşme."
"Terlan yiyenni","Terlan yiyenli. Doğandan daha yırtıcı avcı kuş."
"Terlan-terlen","Sarıya çalgın renkli, iri pençeli doğan."
"Terliyip","Terlemiş."
"Tevekkül","İşi Allah'a bırakıp kadere razı olma."
"Tevür tevür","Biçim biçim, her halinle."
"Tezbahar","1. İlkbahar. 2. Erken gelen bahar."
"Teze","Taze, yeni."
"Tezelenmek","Yenilenmek."
"Tezkin","Teşbih etmek, benzetmek."
"Tezze","Taze, yeni."
"Tezzele","Tazele, yenile."
"Tıfıl","Küçük çocuk."
"Tığ-ı müjgan","Sevgilinin kaşları ve kirpikleri."
"Tırıntaz","1. Tirendaz ''tir-endaz'', ok atıcı. 2. Uyumlu giyinmeyi huy edinmiş kimse. 3. Çok temiz kimse."
"Timar","Sağaltma, iyileştirme."
"Tir I","Benzer, denk eş."
"Tir II","Ok."
"Tomur","Kabartı, ağaç ve asmalardaki filiz kabartıları."
"Tomur olmak","Tomurmak, tomurcuklanmak, kabarmak."
"Tomur salmak","Tomur sürmek, tomurcuklanmak, filizlenmek."
"Tor","1. Ağ, tuzak, kapan. 2. Acemi, toy, bir işi yapmakta becerisi olmayan."
"Tora ilişmek","Ağa takılmak, tuzağa düşmek."
"Tora salmak","Tuzağa düşürmek."
"Tovuz","Tavus kuşu."
"Toy I","Şölen, düğün."
"Toy II","Toy kuşu, iri ya da orta boylu, tüyleri kızıl ve esmer benekli bir av kuşu. Toygun: Ak ve çakır renkli doğan."
"Toy tamaşa","Eğlence, düğün dernek."
"Toylak","Toy Kuşu."
"Toylu tamaşalı","Eğlenceli, düğün dernekli."
"Tozarmak","Toz kalkmak."
"Tozmak","Gezmek, salınarak dolaşmak."
"Tozumak","Tozarmak, tozu kalkmak."
"Tozuyan","Tozaran."
"Töhmet","Karaçalma, suçlama."
"Tökmek","Dökmek."
"Töküp","Dökmüş."
"Tuba","Cennette bulunan ve kökü göklerde, dalları aşağıda olan ağaç."
"Tuğ","Başlangıçta Türklerce kutsal sayılan ve kutas-kotas adı verilen Tibet öküzünün, sonraları atın kuyruk kıllarından yapılan sembol, hükümdarın verdiği saygınlık belirten sorguç."
"Tuğu terlen [terlan-tarlan]","Başında uzun tüyleri olan, sarıya çalgın renkli, iri pençeli avcı kuş; tuğlu doğan."
"Tumaşa","Temaşa, seyretme."
"Tun","1.Köşe, bucak; gizli yer. 2.Yön, semt."
"Tundan tuna","Uzak yerlere, felaketten felakete."
"Tundan tuna atmak","Diyardan diyara sürüp dolaştırınak, bahtsızlığa uğratmak."
"Tur Dağı","1.Bir dağ adı. 2.Dinsel inanca göre Tanrı'nın Musa'ya yüzünü yansıttığı dağ."
"Turab","Türap, toprak."
"Turabınnan","Türabından, toprağından."
"Turan","Eski İranlılar tarafından Türk ülkesine verilen ad; Orta Asya."
"Turap","Toprak."
"Tuş gelmek","Karşılaşmak, görünmek."
"Tutam","Tutayıın."
"Tutuban","Tutarak."
"Tutum","Tutam, demet, deste."
"Tüg","Tiiy, telek."
"Türki","Türkçe. Türk milletine has."
"Tütün","Duman, gönül yanığının dumanı."
"Uca","Yüce, yüksek, yüksek yer."
"Ucalanmak","Büyümek, boy atmak."
"Ucalık","Yücelik, saygınlık."
"Ucalmak","Yükselmek, yücelmek."
"Ucasına","Yükseğine, yücesine."
"Ucun ucun","Gizli gizli, bir yandan da..."
"Uçmak","Cennet."
"Uğrun","Gizli."
"Ukba","Ahret."
"Ulak","Haberci."
"Ulanmak","Ulaşmak, kavuşmak, eklenmek."
"Umar","Çare."
"Umdurmak","Ummasını sağlamak."
"Umman","Büyük deniz, engin deniz, okyanus."
"Unulmaz","Onulmaz, iyileşmez."
"Unutmuşam","Unuttum, unutmuşum."
"Urmak","Vurmak."
"Urum","Rum."
"Usalmak","Uslanmak."
"Ussuz","Akılsız, düşünemez."
"Ustaz","Üstad."
"Uşağ-Uşak","Çocuk."
"Uşdu","Uçtu."
"Uyuram","Uyurum."
"Üce","Yüce, yüksek."
"Ülfet","Kaynaşma, görüşme, konuşma."
"Ümmet","Bir peygambere inanıp bağlanan cemaat."
"Ün","Ses, yüksek ses."
"Ürek","Yürek."
"Ürküşmek","Ürkmek, bir şeyden korkup birden sıçramak."
"Üryan","Çıplak."
"Üsdüne","Üstüne."
"Üsgek","Yüksek, yüce."
"Üsgüf","Üsküf."
"Üsküf","1. Başlık, serpuş 2. Simle bezeli baş örtüsü. 3.Genç kızların ve gelinlerin giydikleri, genellikle kırmızı renkli, ince keçe, şayak ya da çuhadan yapılmış başlık."
"Üşe","(Üşmek) Toplanmak, üşüşmek."
"Üz","Yüz, çehre."
"Üzdürmek","Sızdırmak, süzdürmek."
"Üzmege","Üzmeye."
"Vade","Ömür, ömür süresi."
"Vade gelmek","Ömrün dolması, ömür süresinin dolması."
"Va'de gelüben","Günün biter, ömrüm dolarsa."
"Vaha","Çöllerde çoğu kez yüze çıkan yer altı sularının yarattığı ve önemi suyun niceliğine bağlı olarak değişen tarım veya yerleşme bölgesi."
"Vahdet","Yalnızlık, teklik, birlik."
"Vahşet","Vahşilik."
"Vahtıdır","Zamanıdır."
"Vakt","Vakit, zaman."
"Vaktında","Vaktinde, zamanında."
"Vala","İpekten baş ve yüz örtüsü."
"Varak","Yaprak, kağıt veya kitap yaprağı, yazılmış kağıt."
"Vasf etmek","Överek ve anlatarak tarif etme, övme."
"Vasfetmek","Anlatmak, tanımlamak, nitelendirmek."
"Vasl","Birleştirme, kavuşma."
"Velbağsü bağdel mevt","Öldükten sonra dirilme (Haktır)."
"Velekad","Asalet, iyilik."
"Velvele","Gürültü, bağrışma."
"Veran","Viran, yıkık."
"Veran olmak","Yıkılmak, haraplaşmak."
"Verende","Verdiği zaman."
"Veresen","Veresin."
"Vermenem","Vermem, ben vermem."
"Vesvas","Kur'an-ı Kerim'de Nas suresi. 114/4. ayet."
"Vesvese","Şüphe, kuruntu."
"Virana","Virane, yıkıntı."
"Vird","Sık sık ve devamlı okunan dua. Bir cüz."
"Visal","Kavuşma -sevgiliye kavuşma- ."
"Vurasız","Vurasınız."
"Vurmak","Sapmak, yönelmek."
"Vücut şehri","Beden, can, özvarlık."
"Yad ölke","Yabancı ülke, yabancı diyar."
"Yadet","Hatırla."
"Yad-yad","Yabancı."
"Yağı","Düşman, hasım."
"Yağlık","Büyük mendil, çevre."
"Yahşı","İyi güzel, çok güzel."
"Yakaram","Yakarım, yandırırım."
"Yalçın","Laçin, benekli doğan."
"Yaldak","Yalancı, aldatıcı."
"Yalguz","Yalnız, tek başına."
"Yan vermek","Arka çıkmak, desteklemek."
"Yanağın zencirlenmesi","Yanağın kızarması, al al olması."
"Yanah","Yanak."
"Yanaknan","Yanak ile."
"Yapalağ[yapalak]","Puhu kuşu, baykuş."
"Yar vasfı","Sevgilinin nitelikleri."
"Yara","Yare, sevgiliye."
"Yaran","Yaren, arkadaş, dost."
"Yaratan usta","Tanrı."
"Yarı","Yari, sevgiliyi."
"Yarım","Yarim, sevgilim."
"Yarıma","Yarime, sevgilime."
"Yarımdır","Yarimdir, sevgilimdir."
"Yarın","Yarin, sevgilinin."
"Yarından","Yarinden, sevgilisinden."
"Yarısan","Yarisin, sevgilisisin."
"Yaslanıp","Yaslanmış."
"Yaşınan","Yaş ile."
"Yaşmak","Kadınların başörtüsüyle gözlerini açıkta bırakacak biçimde alınlarını ve ağızlarını örtmeleri."
"Yatam","Yatayım."
"Yaylık","Yağlık, büyük mendil."
"Yazan","Kader yazıcı, Tanrı."
"Yedmek","Bir kimseyi elinden tutarak götürmek."
"Yedullah","Allah'ın eli."
"Yeğ","Yeğin, üstün."
"Yek","Bir"
"Yeksan","Yerle bir. Beraber."
"Yel","Rüzgar."
"Yelmek","Dolaşmak, gezmek."
"Yerağ","Silah, öldüren alet."
"Yeren","Yaren, arkadaş. Dost."
"Yeri","Yürü."
"Yeşilbaş","Tüyleri kızıla çalgın kahverengi, beyaz, kara, mavi; başı ve kanat ucu telekleri yeşil renkli erkek ördek. Erkek yaban ördeği."
"Yığılmak","Toplanmak, birikmek."
"Yoh","Yok."
"Yolu tutmak","Yola çıkmak, yola koyulmak, yola düşmek."
"Yoluz","Yolunuz."
"Yosma","Şen, güzel, fettan (genç kadın)."
"Yoz","Dava."
"Yöğrük","Hızlı gitmek."
"Yuca","Yüce, yüksek."
"Yular","Hayvanların başına bağlanan ip"
"Yulduz","Yıldız."
"Yunmak","Yıkanmak, arınmak."
"Yusuf","İbrani Peygamberi. Yakup peygamberin oğlu, Yusuf'un serüveni Tevrat'ta, Tekvin bölümündedir. Yusuf, Kur'an'ı Kerim'de de yer alır [Yusuf Suresi]. İslami edebiyatlarda ''Ahsen'ül Kısas'' -Hikayenin en güzeli diye anılan Yusuf hikayesinin etkileri Türk Edebiyatı'nda da yaygındır. Yusuf ile Züleyha- Zeliha arasında geçen olaylar birçok mesneviye konu oldu, Yusuf ile Züleyha adını taşıyan bir çok hikaye yazıldı."
"Yuvasın","Yuvasını."
"Yügrük","Yüğrük. İyi yürüyen, iyi koşan, çevik."
"Yükünen","Yüküyle, yükü ile."
"Zağ","Karga."
"Zahit","Süs ve makamlarından feragat eden kimse. Sofi."
"Zahm","Yara."
"Zahman","Vatan, ülke, bir kimsenin doğup büyüdüğü yer."
"Zail","Sona eren, devamlı olmayan, geçen."
"Zalım","Zalim."
"Zar","Ağlama, inleme."
"Zar çekmek-zarı çekmek","Acı çekmek: ağlamak, inlemek."
"Zar etmek","Ağlamak."
"Zara-çalmak","Ağlatmak, inletmek."
"Zara-salmak","Ağlatmak, inletmek."
"Zarılanmak","Acı çekerek ağlamak, inlemek."
"Zarıncı","Yatalak hasta."
"Zeher","Zehir."
"Zehrimar","Yılan zehiri."
"Zemheri","Kışın en sert dönemi, karakış."
"Zemzem","Kabe yakınındaki bir kuyu, bu kuyunun Müslümanlarca kutsal suyu."
"Zencir","Zincir."
"Zer","1. Altın. 2. Altın sarısı renk."
"Zer-cığa","Altın sarısı ve yeşil karışımı renk, altın yeşili."
"Zer-cığa tel","Turnanın renkli tüyleri ve telekleri."
"Zerli tuğ","Altın tuğ, altın bezeli tuğ."
"Zerre","Pek ufacık parça."
"Zerrin","Altından yapılma, altın görünüşlü, altın renkli."
"Zikr","Zikir, anma."
"Zilf-zilif","Zülüf."
"Zinet","Ziynet, bezek, süs, takı."
"Zöhre","Zühre. Tahir ile Zühre adlı halk hikayesinin baş kadın kişisi, Tahir'in sevgilisi."
"Züban","Lisan, dil."
"Zükür","Erkekler."
"Zül-cenan","İki cennet."
"Zülfikar","Hz. Ali'nin çatallı kılıcı."
"Zülf-zülüf","Şakaklardan sarkan saç demeti, saç lülesi."
